348,203,125,109,93,48,31,31,0,0,0,0,0
156,156,156,140,94,78,31,31,3,0,0,0,0
261,156,317,78,62,31,15,0,0,0,0,0,0
234,152,125,109,94,62,31,15,0,0,0,0,0
250,297,125,78,63,31,15,0,0,0,0,0,0
179,156,125,94,94,47,39,15,0,0,0,0,0
235,323,109,110,62,46,16,0,0,0,0,0,0
188,156,125,110,78,62,31,0,0,0,0,0,0
312,156,172,93,78,47,31,0,0,0,0,0,0
234,157,172,94,62,62,31,16,0,0,0,0,0
177,187,125,109,110,46,28,15,0,0,0,0,0
234,187,266,141,62,63,47,0,0,0,0,0,0
327,172,125,93,79,47,0,0,0,0,0,0,0
234,156,125,109,78,31,29,0,0,0,0,0,0
391,141,125,110,63,47,31,16,0,0,0,0,0
196,250,125,93,109,46,34,15,16,0,0,0,0
265,130,141,94,62,32,16,9,0,0,0,0,0
234,166,156,156,78,47,47,0,0,0,0,0,0
312,156,223,94,56,47,31,16,0,0,0,0,0
297,203,125,94,78,63,32,16,0,0,0,0,0
172,151,124,93,78,47,16,0,0,0,0,0,0
219,188,125,125,78,62,53,16,16,0,0,0,0
164,140,140,110,94,47,31,0,0,0,0,0,0
250,151,140,125,94,31,31,16,0,0,0,0,0
390,234,131,110,78,47,16,0,0,0,0,0,0
203,156,125,109,62,47,31,16,0,0,0,0,0
172,140,112,93,69,47,15,0,0,0,0,0,0
187,230,266,110,78,47,15,15,0,0,0,0,0
196,171,125,93,47,47,31,15,0,0,0,0,0
188,156,141,94,78,78,52,31,0,0,0,0,0
203,203,109,78,62,62,27,16,0,0,0,0,0
187,156,125,94,78,46,31,0,0,0,0,0,0
218,172,109,125,62,62,166,16,0,0,0,0,0
188,172,140,125,94,62,47,16,0,0,0,0,0
250,140,109,78,62,47,31,0,0,0,0,0,0
176,156,140,94,78,63,31,16,0,0,0,0,0
203,188,125,94,78,70,16,15,0,0,0,0,0
171,203,156,110,78,62,15,15,0,0,0,0,0
219,140,109,109,62,47,31,0,0,0,0,0,0
218,172,140,63,78,31,47,0,0,0,0,0,0
172,181,125,93,94,47,24,0,0,0,0,0,0
188,188,125,93,78,62,31,0,0,0,0,0,0
281,140,125,93,63,47,31,0,3,0,0,0,0
203,172,140,125,63,47,47,0,0,0,0,0,0
245,125,125,109,72,63,15,16,0,0,0,0,0
181,203,157,141,85,46,31,15,0,0,0,0,0
172,149,125,93,78,47,16,16,0,0,0,0,0
172,140,125,141,78,46,31,0,0,0,0,0,0
187,141,109,78,78,47,31,0,0,0,0,0,0
