Player,Initial window,Window factor,Average evaluations,Min evaluations,Q1 evaluations,Median evaluations,Q3 evaluations,Maxevaluations,Average time (ms),Min time,Q1 time,Median time,Q3 time,Max time
MAsT_IEV_MI_5,5,10.0,379690,228602,335361,372129,414623,729133,103.365,68.337,92.608,102.603,111.439,170.598
MAsT_IEV_MI_5,5,20.0,382572,241535,338067,373502,417332,1143236,103.426,69.977,93.153,101.106,111.886,210.311
MAsT_IEV_MI_5,5,50.0,380139,243735,335535,371843,418194,825078,102.428,72.393,92.824,100.920,110.186,172.711
MAsT_IEV_MI_5,5,100.0,392206,246083,342325,382079,432537,1080718,104.638,69.405,94.313,102.807,113.838,231.276
MAsT_IEV_MI_5,5,200.0,385431,217998,338997,379119,422637,703400,103.400,68.446,93.874,101.629,112.411,178.831
MAsT_IEV_MI_5,5,500.0,375223,245160,331662,369001,408955,878986,101.962,73.496,92.847,100.361,108.919,194.479
MAsT_IEV_MI_5,5,1000.0,373857,234753,329094,365301,409864,696869,100.918,68.592,91.818,99.897,108.686,156.708
MAsT_IEV_MI_5,10,1.0,612331,267165,432030,545479,720512,2890370,169.078,80.256,117.263,144.874,194.789,872.046
MAsT_IEV_MI_5,10,1.1,525406,244595,413279,502605,609169,1608839,142.709,73.610,112.896,134.026,162.119,452.271
MAsT_IEV_MI_5,10,1.2,475628,269577,395960,460702,536744,1190450,130.098,74.034,108.260,123.469,144.834,350.280
MAsT_IEV_MI_5,10,1.5,419307,229475,355361,408086,467043,883178,115.697,74.388,99.278,111.582,126.459,248.283
MAsT_IEV_MI_5,10,1.75,400967,231749,342716,392582,442976,821057,110.717,69.621,96.314,107.736,121.616,219.344
MAsT_IEV_MI_5,10,2.0,398696,243442,344256,390402,439284,764278,109.970,75.185,96.217,108.128,120.644,195.127
MAsT_IEV_MI_5,10,2.25,389470,246291,341553,384321,431027,677974,107.393,72.037,95.245,104.794,116.617,191.951
MAsT_IEV_MI_5,10,2.5,383838,231045,335495,377712,420859,845358,105.945,70.434,93.792,103.276,116.154,214.313
MAsT_IEV_MI_5,10,2.75,385972,229463,338818,378276,420958,820785,105.789,70.076,93.555,104.566,115.109,184.067
MAsT_IEV_MI_5,10,3.0,380492,244810,333681,373891,416956,804144,105.131,73.272,94.136,103.146,113.626,206.110
MAsT_IEV_MI_5,10,3.5,382635,223002,335394,373665,422723,730476,105.297,69.853,93.775,103.058,113.501,196.793
MAsT_IEV_MI_5,10,4.0,377865,246384,333669,368654,415461,657390,103.861,73.780,93.677,102.020,112.411,180.034
MAsT_IEV_MI_5,10,4.5,378483,221391,334971,370239,415002,786462,103.863,69.373,93.309,102.123,112.376,195.579
MAsT_IEV_MI_5,10,5.0,376238,241788,332273,368055,412523,712918,103.431,71.674,93.201,102.169,111.563,185.463
MAsT_IEV_MI_5,10,6.0,374156,234613,328662,367538,408983,705861,102.973,73.354,92.853,101.331,111.886,170.299
MAsT_IEV_MI_5,10,7.0,379935,257111,332209,372589,417300,751588,103.623,73.404,93.410,101.536,112.143,176.393
MAsT_IEV_MI_5,10,8.0,377458,238466,328371,370551,415405,779122,102.961,65.583,92.065,101.525,111.585,181.679
MAsT_IEV_MI_5,10,9.0,377741,229385,331034,369054,412800,765612,104.180,69.103,93.744,102.306,112.389,184.192
MAsT_IEV_MI_5,10,10.0,379407,222089,333181,373781,414905,790559,103.206,67.957,92.905,101.562,111.275,177.714
MAsT_IEV_MI_5,10,20.0,379608,219692,333325,375509,418882,648954,103.044,66.263,93.252,102.097,111.731,161.827
MAsT_IEV_MI_5,10,50.0,388816,256687,342264,382373,425797,696599,104.094,70.470,94.051,102.639,112.536,166.651
MAsT_IEV_MI_5,10,100.0,388034,242047,338876,378976,426545,777542,103.950,72.116,93.637,101.667,112.137,183.200
MAsT_IEV_MI_5,10,200.0,382071,227306,333492,374590,419503,808122,102.766,68.351,92.409,100.927,111.408,186.146
MAsT_IEV_MI_5,10,500.0,373713,238173,331536,369308,411292,703386,100.816,70.000,91.670,99.765,109.211,154.171
MAsT_IEV_MI_5,10,1000.0,376117,206182,332705,366573,411238,708996,100.824,66.620,91.603,99.241,107.950,159.001
MAsT_IEV_MI_5,20,1.0,590434,248031,429002,536603,691818,2152830,160.073,75.810,118.802,142.223,181.449,640.207
MAsT_IEV_MI_5,20,1.1,492100,253736,400424,475347,566702,1103566,134.146,76.582,109.451,127.318,149.413,359.936
MAsT_IEV_MI_5,20,1.2,460052,264902,381809,443614,524162,990559,126.001,76.988,104.992,118.531,139.812,279.077
MAsT_IEV_MI_5,20,1.5,409351,243938,353580,403057,456862,797029,113.066,74.073,99.200,109.280,124.935,223.887
MAsT_IEV_MI_5,20,1.75,394541,244069,343482,388072,435449,688620,109.362,76.371,96.387,106.492,119.601,193.078
